Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1 uF,C_0402_1005Metric,163.4,-69.58,90,top
C2,0.1 uF,C_0402_1005Metric,163.55,-67.37,90,top
C3,0.1 uF,C_0402_1005Metric,166.9,-51.5,90,top
C4,1 uF,C_0402_1005Metric,155.65,-59.92,90,top
C5,0.1 uF,C_0402_1005Metric,166.65,-66.35,0,top
C6,0.1 uF,C_0402_1005Metric,163.65,-71.68,90,top
C7,0.1 uF,C_0402_1005Metric,155.4,-78.85,0,top
C8,0.1 uF,C_0402_1005Metric,154.55,-52.92,90,top
C9,0.1 uF,C_0402_1005Metric,166.9,-48.63,90,top
C10,0.1 uF,C_0402_1005Metric,156.65,-68.6,0,top
C11,0.1 uF,C_0402_1005Metric,163.7,-55.05,0,top
C12,0.1 uF,C_0402_1005Metric,155.95,-73.8,90,top
C13,10 uF,C_0603_1608Metric,164.375,-62.3,0,top
C14,10 uF,C_0603_1608Metric,155.05,-89.1,90,top
C15,0.1 uF,C_0402_1005Metric,159.17,-68.7,0,top
C16,33 pF,C_0402_1005Metric,161.75,-84.1,90,top
C17,33 pF,C_0402_1005Metric,156.35,-83.95,-90,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,160.65,-49.155,180,top
J2,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,158.15,-95.95,90,top
J3,Conn_01x20_Pin,PinHeader_1x20_P2.54mm_Vertical,151.76,-48.12,0,top
J6,Conn_01x20_Pin,PinHeader_1x20_P2.54mm_Vertical,169.54,-48.12,0,top
R1,27,R_0402_1005Metric,160.45,-63.86,90,top
R2,27,R_0402_1005Metric,161.25,-55.76,90,top
R3,5.1K,R_0402_1005Metric,166.95,-54.39,90,top
R4,5.1K,R_0402_1005Metric,156,-62.24,90,top
R5,10K,R_0402_1005Metric,157.74,-60.35,0,top
R6,1K,R_0402_1005Metric,161.5,-61.46,90,top
R7,1K,R_0402_1005Metric,162.8,-82.7,90,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,164.3,-58.55,90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,161.1375,-77.55,0,top
U2,MCP1700x-330xxTT,SOT-23,157.15,-56.85,90,top
U3,W25Q16JVSS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,158.8,-70.55,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,159.05,-83.95,0,top
